Codigo IBGE,Municipio,População,Gasto_Seguranca,Qtd_Homicidios,PIB,PIB_per_capita,taxa/1000hab,Ano,Ano_PIB
5222203,Vila Boa,6451,36937.26,1,179899000,27886.994264455123,0.1550147263990079,2023,2021
5200050,Abadia de Goiás,9158,158683.05,4,353700000,38621.969862415375,0.43677658877484166,2023,2021
5200175,Água Fria de Goiás,5843,186517.67,1,533233000,91260.14033886702,0.17114495978093444,2023,2021
5200258,Águas Lindas de Goiás,222850,419490.05,43,2463152000,11052.95938972403,0.19295490240071797,2023,2021
5200506,Aloândia,1976,88270.43,1,63728000,32251.012145748988,0.5060728744939271,2023,2021
5200829,Amaralina,3875,7455.0,1,109077000,28148.90322580645,0.25806451612903225,2023,2021
5201108,Anápolis,396526,24145878.05,53,17788289000,44860.33450517747,0.1336608444339085,2023,2021
5201405,Aparecida de Goiânia,601844,42007161.06,139,16979984000,28213.264566897735,0.2309568592525638,2023,2021
5201504,Aporé,4266,169045.02,1,395713000,92759.7280825129,0.23441162681669012,2023,2021
5201702,Aragarças,20410,2342.93,12,277710000,13606.56540911318,0.5879470847623715,2023,2021
5202353,Arenópolis,2462,17240.07,1,222580000,90406.17384240455,0.4061738424045491,2023,2021
5202502,Aruanã,10340,157650.61,3,291962000,28236.17021276596,0.2901353965183752,2023,2021
5203203,Barro Alto,11643,992111.17,5,1573567000,135151.33556643478,0.4294425835265825,2023,2021
5203302,Bela Vista de Goiás,31004,106938.89,9,1480966000,47766.93329892917,0.2902851245000645,2023,2021
5203401,Bom Jardim de Goiás,8912,95345.59,3,257660000,28911.57989228007,0.33662477558348297,2023,2021
5203559,Bonfinópolis,10120,17076.04,4,121138000,11970.158102766798,0.3952569169960474,2023,2021
5203575,Bonópolis,4579,41648.75,1,156630000,34206.158549901724,0.21838829438742083,2023,2021
5203609,Brazabrantes,3812,37359.11,3,93833000,24615.162644281216,0.7869884575026234,2023,2021
5203807,Britânia,5815,3689.65,1,198101000,34067.23989681857,0.17196904557179707,2023,2021
5204003,Cabeceiras,8098,876424.5,2,475939000,58772.41294146703,0.2469745616201531,2023,2021
5222054,Vicentinópolis,9002,38298.95,2,480173000,53340.70206620751,0.22217285047767163,2023,2021
5204250,Cachoeira Dourada,7997,223864.3,1,69455000,8685.131924471676,0.12504689258471927,2023,2021
5204300,Caçu,16525,353914.39,2,904592000,54740.816944024205,0.12102874432677761,2023,2021
5204508,Caldas Novas,95183,629337.25,24,3000886000,31527.541682863535,0.25214586638370295,2023,2021
5204557,Caldazinha,3900,47361.31,2,84638000,21702.05128205128,0.5128205128205128,2023,2021
5204607,Campestre de Goiás,3662,37798.72,1,72737000,19862.643364281812,0.27307482250136533,2023,2021
5204706,Campinorte,12880,161846.51,4,333013000,25855.04658385093,0.31055900621118016,2023,2021
5204805,Campo Alegre de Goiás,7884,82897.46,3,846728000,107398.27498731608,0.380517503805175,2023,2021
5204953,Campos Verdes,1526,7986.64,4,56347000,36924.63958060288,2.6212319790301444,2023,2021
5205000,Carmo do Rio Verde,10299,15296.13,4,488084000,47391.39722303136,0.3883872220603942,2023,2021
5205059,Castelândia,3380,46122.94,1,91614000,27104.73372781065,0.2958579881656805,2023,2021
5205109,Catalão,113091,10164878.12,26,9916468000,87685.73980245997,0.22990335216772334,2023,2021
5205208,Caturaí,5132,46489.93,3,100768000,19635.22992985191,0.5845674201091193,2023,2021
5205406,Ceres,22407,1424580.68,5,734660000,32787.07546748784,0.22314455304146025,2023,2021
5205471,Chapadão do Céu,10797,1237989.09,7,2188716000,202715.1986662962,0.6483282393257386,2023,2021
