Exercício: 2023
Escopo: Municípios do Estado - GO
Tabela: Despesas por Função (Anexo I-E)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"Despesas Exceto Intraorçamentárias";"siconfi-cor_TotalDespesas";24683641,36
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"01 - Legislativa";"siconfi-cor_TotalDespesas";1108010,63
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"01.031 - Ação Legislativa";"siconfi-cor_TotalDespesas";1108010,63
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"04 - Administração";"siconfi-cor_TotalDespesas";3263105,73
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"04.122 - Administração Geral";"siconfi-cor_TotalDespesas";2743928,14
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"04.123 - Administração Financeira";"siconfi-cor_TotalDespesas";519177,59
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"08 - Assistência Social";"siconfi-cor_TotalDespesas";1690159,87
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"08.241 - Assistência ao Idoso";"siconfi-cor_TotalDespesas";298647,3
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"08.244 - Assistência Comunitária";"siconfi-cor_TotalDespesas";1391512,57
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"09 - Previdência Social";"siconfi-cor_TotalDespesas";1385342,24
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"09.271 - Previdência Básica";"siconfi-cor_TotalDespesas";1171183,82
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"09.272 - Previdência do Regime Estatutário";"siconfi-cor_TotalDespesas";214158,42
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"10 - Saúde";"siconfi-cor_TotalDespesas";5263401,00
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"10.301 - Atenção Básica";"siconfi-cor_TotalDespesas";5261906,00
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"10.305 - Vigilância Epidemiológica";"siconfi-cor_TotalDespesas";1495,00
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"12 - Educação";"siconfi-cor_TotalDespesas";3978779,46
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"12.361 - Ensino Fundamental";"siconfi-cor_TotalDespesas";2916987,83
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"12.365 - Educação Infantil";"siconfi-cor_TotalDespesas";989593,65
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"FU12 - Demais Subfunções";"siconfi-cor_TotalDespesas";72197,98
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"13 - Cultura";"siconfi-cor_TotalDespesas";100175,91
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"13.392 - Difusão Cultural";"siconfi-cor_TotalDespesas";100175,91
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"15 - Urbanismo";"siconfi-cor_TotalDespesas";3896709,16
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"15.452 - Serviços Urbanos";"siconfi-cor_TotalDespesas";3896709,16
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"18 - Gestão Ambiental";"siconfi-cor_TotalDespesas";297857,84
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"18.541 - Preservação e Conservação Ambiental";"siconfi-cor_TotalDespesas";297857,84
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"20 - Agricultura";"siconfi-cor_TotalDespesas";458814,86
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"20.122 - Administração Geral";"siconfi-cor_TotalDespesas";458814,86
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"23 - Comércio e Serviços";"siconfi-cor_TotalDespesas";180384,51
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"23.695 - Turismo";"siconfi-cor_TotalDespesas";180384,51
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"26 - Transporte";"siconfi-cor_TotalDespesas";688713,31
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"26.122 - Administração Geral";"siconfi-cor_TotalDespesas";688713,31
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"27 - Desporto e Lazer";"siconfi-cor_TotalDespesas";152755,32
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"27.812 - Desporto Comunitário";"siconfi-cor_TotalDespesas";152755,32
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"28 - Encargos Especiais";"siconfi-cor_TotalDespesas";2219431,52
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"28.843 - Serviço da Dívida Interna";"siconfi-cor_TotalDespesas";170262,78
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Empenhadas";"FU28 - Demais Subfunções";"siconfi-cor_TotalDespesas";2049168,74
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Liquidadas";"Despesas Exceto Intraorçamentárias";"siconfi-cor_TotalDespesas";24105764,73
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Liquidadas";"01 - Legislativa";"siconfi-cor_TotalDespesas";1108010,63
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Liquidadas";"01.031 - Ação Legislativa";"siconfi-cor_TotalDespesas";1108010,63
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Liquidadas";"04 - Administração";"siconfi-cor_TotalDespesas";3263105,58
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Liquidadas";"04.122 - Administração Geral";"siconfi-cor_TotalDespesas";2743928,14
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Liquidadas";"04.123 - Administração Financeira";"siconfi-cor_TotalDespesas";519177,44
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Liquidadas";"08 - Assistência Social";"siconfi-cor_TotalDespesas";1690159,87
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Liquidadas";"08.241 - Assistência ao Idoso";"siconfi-cor_TotalDespesas";298647,3
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Liquidadas";"08.244 - Assistência Comunitária";"siconfi-cor_TotalDespesas";1391512,57
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Liquidadas";"09 - Previdência Social";"siconfi-cor_TotalDespesas";1385342,24
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Liquidadas";"09.271 - Previdência Básica";"siconfi-cor_TotalDespesas";1171183,82
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Liquidadas";"09.272 - Previdência do Regime Estatutário";"siconfi-cor_TotalDespesas";214158,42
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;GO;1336;"Despesas Liquidadas";"10 - Saúde";"siconfi-cor_TotalDespesas";4770097,1
