cod,sigla,valor,periodo
52,GO,810,1989-01-15
52,GO,681,1990-01-15
52,GO,852,1991-01-15
52,GO,828,1992-01-15
52,GO,734,1993-01-15
52,GO,774,1994-01-15
52,GO,784,1995-01-15
52,GO,782,1996-01-15
52,GO,744,1997-01-15
52,GO,704,1998-01-15
52,GO,853,1999-01-15
52,GO,1085,2000-01-15
52,GO,1167,2001-01-15
52,GO,1370,2002-01-15
52,GO,1346,2003-01-15
52,GO,1524,2004-01-15
52,GO,1468,2005-01-15
52,GO,1509,2006-01-15
52,GO,1521,2007-01-15
52,GO,1792,2008-01-15
52,GO,1902,2009-01-15
52,GO,1979,2010-01-15
52,GO,2272,2011-01-15
52,GO,2793,2012-01-15
52,GO,2975,2013-01-15
52,GO,2887,2014-01-15
52,GO,2997,2015-01-15
52,GO,3036,2016-01-15
52,GO,2901,2017-01-15
52,GO,2675,2018-01-15
52,GO,2253,2019-01-15
52,GO,2177,2020-01-15
52,GO,1812,2021-01-15
52,GO,1687,2022-01-15
52,GO,1583,2023-01-15
