cod,sigla,valor,periodo,ano
5222203,Vila Boa,1,2023-01-15,2023
5200050,Abadia de Goiás,4,2023-01-15,2023
5200134,Acreúna,6,2023-01-15,2023
5200175,Água Fria de Goiás,1,2023-01-15,2023
5200258,Águas Lindas de Goiás,43,2023-01-15,2023
5200308,Alexânia,16,2023-01-15,2023
5200506,Aloândia,1,2023-01-15,2023
5200803,Alvorada do Norte,3,2023-01-15,2023
5200829,Amaralina,1,2023-01-15,2023
5201108,Anápolis,53,2023-01-15,2023
5201306,Anicuns,1,2023-01-15,2023
5201405,Aparecida de Goiânia,139,2023-01-15,2023
5201454,Aparecida do Rio Doce,1,2023-01-15,2023
5201504,Aporé,1,2023-01-15,2023
5201702,Aragarças,12,2023-01-15,2023
5201801,Aragoiânia,4,2023-01-15,2023
5202155,Araguapaz,2,2023-01-15,2023
5202353,Arenópolis,1,2023-01-15,2023
5202502,Aruanã,3,2023-01-15,2023
5203203,Barro Alto,5,2023-01-15,2023
5203302,Bela Vista de Goiás,9,2023-01-15,2023
5203401,Bom Jardim de Goiás,3,2023-01-15,2023
5203500,Bom Jesus de Goiás,5,2023-01-15,2023
5203559,Bonfinópolis,4,2023-01-15,2023
5203575,Bonópolis,1,2023-01-15,2023
5203609,Brazabrantes,3,2023-01-15,2023
5203807,Britânia,1,2023-01-15,2023
5203939,Buriti de Goiás,1,2023-01-15,2023
5204003,Cabeceiras,2,2023-01-15,2023
5222054,Vicentinópolis,2,2023-01-15,2023
5204250,Cachoeira Dourada,1,2023-01-15,2023
5204300,Caçu,2,2023-01-15,2023
5204409,Caiapônia,4,2023-01-15,2023
5204508,Caldas Novas,24,2023-01-15,2023
5204557,Caldazinha,2,2023-01-15,2023
5204607,Campestre de Goiás,1,2023-01-15,2023
5204656,Campinaçu,1,2023-01-15,2023
5204706,Campinorte,4,2023-01-15,2023
5204805,Campo Alegre de Goiás,3,2023-01-15,2023
5204953,Campos Verdes,4,2023-01-15,2023
5205000,Carmo do Rio Verde,4,2023-01-15,2023
5205059,Castelândia,1,2023-01-15,2023
5205109,Catalão,26,2023-01-15,2023
5205208,Caturaí,3,2023-01-15,2023
5205307,Cavalcante,5,2023-01-15,2023
5205406,Ceres,5,2023-01-15,2023
5205471,Chapadão do Céu,7,2023-01-15,2023
5205497,Cidade Ocidental,16,2023-01-15,2023
5205513,Cocalzinho de Goiás,4,2023-01-15,2023
5205802,Corumbá de Goiás,1,2023-01-15,2023
5205901,Corumbaíba,4,2023-01-15,2023
5206206,Cristalina,20,2023-01-15,2023
5206305,Cristianópolis,1,2023-01-15,2023
5206404,Crixás,10,2023-01-15,2023
5206503,Cromínia,1,2023-01-15,2023
5206701,Damianópolis,1,2023-01-15,2023
5206800,Damolândia,1,2023-01-15,2023
5207105,Diorama,1,2023-01-15,2023
5207253,Doverlândia,4,2023-01-15,2023
5207402,Edéia,8,2023-01-15,2023
5207535,Faina,1,2023-01-15,2023
5207600,Fazenda Nova,4,2023-01-15,2023
5207808,Firminópolis,2,2023-01-15,2023
5207907,Flores de Goiás,7,2023-01-15,2023
5208004,Formosa,30,2023-01-15,2023
5208152,Gameleira de Goiás,1,2023-01-15,2023
5208400,Goianápolis,5,2023-01-15,2023
5208608,Goianésia,23,2023-01-15,2023
5208707,Goiânia,262,2023-01-15,2023
5208806,Goianira,15,2023-01-15,2023
5208905,Goiás,4,2023-01-15,2023
5209101,Goiatuba,4,2023-01-15,2023
5209150,Gouvelândia,1,2023-01-15,2023
5209200,Guapó,7,2023-01-15,2023
5222005,Vianópolis,3,2023-01-15,2023
5209705,Hidrolândia,7,2023-01-15,2023
5209903,Iaciara,4,2023-01-15,2023
5209937,Inaciolândia,3,2023-01-15,2023
5209952,Indiara,4,2023-01-15,2023
5210000,Inhumas,8,2023-01-15,2023
5210109,Ipameri,8,2023-01-15,2023
5210208,Iporá,1,2023-01-15,2023
5210406,Itaberaí,6,2023-01-15,2023
5210604,Itaguaru,2,2023-01-15,2023
5210802,Itajá,1,2023-01-15,2023
5210901,Itapaci,9,2023-01-15,2023
5211008,Itapirapuã,2,2023-01-15,2023
5211206,Itapuranga,2,2023-01-15,2023
5221551,Turvelândia,1,2023-01-15,2023
5211305,Itarumã,1,2023-01-15,2023
5211503,Itumbiara,22,2023-01-15,2023
5211701,Jandaia,3,2023-01-15,2023
5211800,Jaraguá,10,2023-01-15,2023
5211909,Jataí,37,2023-01-15,2023
5212105,Joviânia,1,2023-01-15,2023
5212204,Jussara,5,2023-01-15,2023
5212303,Leopoldo de Bulhões,2,2023-01-15,2023
5212501,Luziânia,87,2023-01-15,2023
5212600,Mairipotaba,1,2023-01-15,2023
5212709,Mambaí,1,2023-01-15,2023
5212808,Mara Rosa,4,2023-01-15,2023
5213004,Maurilândia,1,2023-01-15,2023
5213053,Mimoso de Goiás,2,2023-01-15,2023
5213087,Minaçu,10,2023-01-15,2023
5213103,Mineiros,10,2023-01-15,2023
5213756,Montividiu,1,2023-01-15,2023
5213772,Montividiu do Norte,1,2023-01-15,2023
5213806,Morrinhos,9,2023-01-15,2023
5213905,Mossâmedes,2,2023-01-15,2023
5214002,Mozarlândia,6,2023-01-15,2023
5214051,Mundo Novo,1,2023-01-15,2023
5214101,Mutunópolis,2,2023-01-15,2023
5214408,Nazário,1,2023-01-15,2023
5214507,Nerópolis,4,2023-01-15,2023
5214606,Niquelândia,14,2023-01-15,2023
5214838,Nova Crixás,3,2023-01-15,2023
5214861,Nova Glória,2,2023-01-15,2023
5215207,Novo Brasil,1,2023-01-15,2023
5215231,Novo Gama,35,2023-01-15,2023
5215306,Orizona,2,2023-01-15,2023
5215504,Ouvidor,1,2023-01-15,2023
5215603,Padre Bernardo,12,2023-01-15,2023
5215652,Palestina de Goiás,1,2023-01-15,2023
5215702,Palmeiras de Goiás,6,2023-01-15,2023
5215900,Palminópolis,1,2023-01-15,2023
5216304,Paranaiguara,1,2023-01-15,2023
5216403,Paraúna,1,2023-01-15,2023
5216452,Perolândia,1,2023-01-15,2023
5216908,Pilar de Goiás,2,2023-01-15,2023
5217104,Piracanjuba,6,2023-01-15,2023
5217203,Piranhas,3,2023-01-15,2023
5217302,Pirenópolis,5,2023-01-15,2023
5217401,Pires do Rio,12,2023-01-15,2023
5217609,Planaltina,33,2023-01-15,2023
5217708,Pontalina,2,2023-01-15,2023
5218003,Porangatu,8,2023-01-15,2023
5218052,Porteirão,2,2023-01-15,2023
5218300,Posse,14,2023-01-15,2023
5218508,Quirinópolis,22,2023-01-15,2023
5218607,Rialma,1,2023-01-15,2023
5218789,Rio Quente,1,2023-01-15,2023
5218805,Rio Verde,32,2023-01-15,2023
5218904,Rubiataba,5,2023-01-15,2023
