cod,sigla,valor,periodo,ano
5210406,Itaberaí,3,1989-01-15,1989
5218805,Rio Verde,23,1989-01-15,1989
5219605,Santa Tereza de Goiás,1,1989-01-15,1989
5220207,São Miguel do Araguaia,1,1989-01-15,1989
5214705,Nova América,0,1989-01-15,1989
5221551,Turvelândia,1,1989-01-15,1989
5213103,Mineiros,7,1989-01-15,1989
5214101,Mutunópolis,0,1989-01-15,1989
5221304,Três Ranchos,0,1989-01-15,1989
5218706,Rianápolis,0,1989-01-15,1989
5212600,Mairipotaba,1,1989-01-15,1989
5211800,Jaraguá,5,1989-01-15,1989
5215603,Padre Bernardo,3,1989-01-15,1989
5210307,Israelândia,1,1989-01-15,1989
5215702,Palmeiras de Goiás,1,1989-01-15,1989
5221502,Turvânia,1,1989-01-15,1989
5215009,Nova Veneza,0,1989-01-15,1989
5218391,Professor Jamil,0,1989-01-15,1989
5214606,Niquelândia,6,1989-01-15,1989
5214408,Nazário,1,1989-01-15,1989
5214879,Nova Iguaçu de Goiás,0,1989-01-15,1989
5219258,Santa Fé de Goiás,0,1989-01-15,1989
5211404,Itauçu,1,1989-01-15,1989
5219001,Sanclerlândia,0,1989-01-15,1989
5220280,São Patrício,0,1989-01-15,1989
5216908,Pilar de Goiás,0,1989-01-15,1989
5219803,São Domingos,0,1989-01-15,1989
5221403,Trindade,7,1989-01-15,1989
5212956,Matrinchã,0,1989-01-15,1989
5218300,Posse,1,1989-01-15,1989
5218003,Porangatu,13,1989-01-15,1989
5221452,Trombas,0,1989-01-15,1989
5210208,Iporá,8,1989-01-15,1989
5219506,Santa Rosa de Goiás,1,1989-01-15,1989
5215652,Palestina de Goiás,0,1989-01-15,1989
5214507,Nerópolis,0,1989-01-15,1989
5210158,Ipiranga de Goiás,0,1989-01-15,1989
5220157,São Luíz do Norte,1,1989-01-15,1989
5210109,Ipameri,3,1989-01-15,1989
5211305,Itarumã,2,1989-01-15,1989
5217401,Pires do Rio,6,1989-01-15,1989
5219902,São Francisco de Goiás,4,1989-01-15,1989
5220009,São João d'Aliança,2,1989-01-15,1989
5216809,Petrolina de Goiás,1,1989-01-15,1989
5212709,Mambaí,2,1989-01-15,1989
5210000,Inhumas,2,1989-01-15,1989
5219738,Santo Antônio de Goiás,0,1989-01-15,1989
5209952,Indiara,1,1989-01-15,1989
5211909,Jataí,17,1989-01-15,1989
5220405,São Simão,1,1989-01-15,1989
5217609,Planaltina,13,1989-01-15,1989
5209937,Inaciolândia,0,1989-01-15,1989
5213756,Montividiu,0,1989-01-15,1989
5213087,Minaçu,1,1989-01-15,1989
5209903,Iaciara,1,1989-01-15,1989
5209804,Hidrolina,3,1989-01-15,1989
5209705,Hidrolândia,3,1989-01-15,1989
5213707,Montes Claros de Goiás,1,1989-01-15,1989
5209606,Heitoraí,1,1989-01-15,1989
5209457,Guarinos,0,1989-01-15,1989
5209408,Guarani de Goiás,0,1989-01-15,1989
5222054,Vicentinópolis,2,1989-01-15,1989
5209291,Guaraíta,0,1989-01-15,1989
5209200,Guapó,4,1989-01-15,1989
5209150,Gouvelândia,0,1989-01-15,1989
5217708,Pontalina,2,1989-01-15,1989
5212006,Jaupaci,0,1989-01-15,1989
5209101,Goiatuba,10,1989-01-15,1989
5208905,Goiás,3,1989-01-15,1989
5208806,Goianira,1,1989-01-15,1989
5208707,Goiânia,232,1989-01-15,1989
5208608,Goianésia,10,1989-01-15,1989
5211206,Itapuranga,6,1989-01-15,1989
5208509,Goiandira,0,1989-01-15,1989
5208400,Goianápolis,2,1989-01-15,1989
5208301,Divinópolis de Goiás,0,1989-01-15,1989
5208152,Gameleira de Goiás,0,1989-01-15,1989
5218904,Rubiataba,4,1989-01-15,1989
5208103,Formoso,0,1989-01-15,1989
5208004,Formosa,15,1989-01-15,1989
5207907,Flores de Goiás,2,1989-01-15,1989
5219308,Santa Helena de Goiás,4,1989-01-15,1989
5215207,Novo Brasil,1,1989-01-15,1989
5207808,Firminópolis,1,1989-01-15,1989
5207600,Fazenda Nova,1,1989-01-15,1989
5207535,Faina,0,1989-01-15,1989
5207501,Estrela do Norte,0,1989-01-15,1989
5207402,Edéia,3,1989-01-15,1989
5207352,Edealina,1,1989-01-15,1989
5216452,Perolândia,0,1989-01-15,1989
5220454,Senador Canedo,0,1989-01-15,1989
5207253,Doverlândia,0,1989-01-15,1989
5207105,Diorama,0,1989-01-15,1989
5206909,Davinópolis,2,1989-01-15,1989
5214861,Nova Glória,2,1989-01-15,1989
5206800,Damolândia,1,1989-01-15,1989
5206701,Damianópolis,0,1989-01-15,1989
5206602,Cumari,0,1989-01-15,1989
5206503,Cromínia,0,1989-01-15,1989
5206404,Crixás,2,1989-01-15,1989
5206305,Cristianópolis,0,1989-01-15,1989
5206206,Cristalina,5,1989-01-15,1989
5205901,Corumbaíba,0,1989-01-15,1989
5205802,Corumbá de Goiás,3,1989-01-15,1989
5205703,Córrego do Ouro,1,1989-01-15,1989
5218789,Rio Quente,0,1989-01-15,1989
5205521,Colinas do Sul,0,1989-01-15,1989
5205513,Cocalzinho de Goiás,0,1989-01-15,1989
5205497,Cidade Ocidental,0,1989-01-15,1989
5213772,Montividiu do Norte,0,1989-01-15,1989
