cod,sigla,valor,periodo
24,RN,236,1989-01-15
21,MA,411,1989-01-15
53,DF,331,1989-01-15
50,MS,371,1989-01-15
42,SC,354,1989-01-15
11,RO,490,1989-01-15
43,RS,1561,1989-01-15
14,RR,113,1989-01-15
27,AL,805,1989-01-15
26,PE,2553,1989-01-15
51,MT,471,1989-01-15
35,SP,9179,1989-01-15
31,MG,1216,1989-01-15
16,AP,39,1989-01-15
15,PA,666,1989-01-15
32,ES,845,1989-01-15
13,AM,321,1989-01-15
29,BA,1086,1989-01-15
22,PI,142,1989-01-15
17,TO,63,1989-01-15
52,GO,810,1989-01-15
23,CE,607,1989-01-15
41,PR,1112,1989-01-15
25,PB,461,1989-01-15
28,SE,139,1989-01-15
12,AC,95,1989-01-15
33,RJ,4290,1989-01-15
53,DF,463,1990-01-15
15,PA,748,1990-01-15
41,PR,1167,1990-01-15
16,AP,46,1990-01-15
26,PE,2742,1990-01-15
24,RN,200,1990-01-15
28,SE,151,1990-01-15
25,PB,440,1990-01-15
21,MA,442,1990-01-15
11,RO,555,1990-01-15
33,RJ,7101,1990-01-15
23,CE,555,1990-01-15
52,GO,681,1990-01-15
17,TO,54,1990-01-15
32,ES,881,1990-01-15
22,PI,109,1990-01-15
29,BA,867,1990-01-15
13,AM,367,1990-01-15
35,SP,9503,1990-01-15
27,AL,719,1990-01-15
51,MT,415,1990-01-15
12,AC,64,1990-01-15
42,SC,388,1990-01-15
14,RR,127,1990-01-15
43,RS,1704,1990-01-15
31,MG,1178,1990-01-15
50,MS,348,1990-01-15
23,CE,607,1991-01-15
50,MS,388,1991-01-15
13,AM,403,1991-01-15
43,RS,1694,1991-01-15
26,PE,2944,1991-01-15
51,MT,452,1991-01-15
16,AP,54,1991-01-15
11,RO,491,1991-01-15
52,GO,852,1991-01-15
33,RJ,5055,1991-01-15
25,PB,401,1991-01-15
28,SE,317,1991-01-15
31,MG,1232,1991-01-15
24,RN,219,1991-01-15
35,SP,9685,1991-01-15
17,TO,92,1991-01-15
32,ES,968,1991-01-15
21,MA,470,1991-01-15
53,DF,489,1991-01-15
12,AC,106,1991-01-15
22,PI,103,1991-01-15
27,AL,665,1991-01-15
41,PR,1225,1991-01-15
14,RR,79,1991-01-15
42,SC,355,1991-01-15
15,PA,810,1991-01-15
29,BA,596,1991-01-15
13,AM,351,1992-01-15
12,AC,107,1992-01-15
17,TO,67,1992-01-15
52,GO,828,1992-01-15
41,PR,1092,1992-01-15
26,PE,2531,1992-01-15
15,PA,759,1992-01-15
27,AL,591,1992-01-15
11,RO,395,1992-01-15
22,PI,92,1992-01-15
16,AP,73,1992-01-15
29,BA,840,1992-01-15
33,RJ,4536,1992-01-15
35,SP,9116,1992-01-15
31,MG,1131,1992-01-15
51,MT,355,1992-01-15
43,RS,1570,1992-01-15
42,SC,361,1992-01-15
21,MA,427,1992-01-15
14,RR,95,1992-01-15
53,DF,424,1992-01-15
24,RN,199,1992-01-15
32,ES,839,1992-01-15
23,CE,537,1992-01-15
28,SE,461,1992-01-15
50,MS,423,1992-01-15
25,PB,355,1992-01-15
26,PE,2763,1993-01-15
50,MS,457,1993-01-15
32,ES,1098,1993-01-15
15,PA,623,1993-01-15
22,PI,117,1993-01-15
28,SE,312,1993-01-15
53,DF,553,1993-01-15
14,RR,69,1993-01-15
35,SP,9224,1993-01-15
52,GO,734,1993-01-15
27,AL,619,1993-01-15
21,MA,394,1993-01-15
24,RN,243,1993-01-15
25,PB,365,1993-01-15
17,TO,93,1993-01-15
29,BA,1503,1993-01-15
51,MT,356,1993-01-15
41,PR,1237,1993-01-15
33,RJ,5367,1993-01-15
12,AC,116,1993-01-15
13,AM,350,1993-01-15
31,MG,1211,1993-01-15
23,CE,702,1993-01-15
42,SC,371,1993-01-15
43,RS,1177,1993-01-15
16,AP,66,1993-01-15
11,RO,498,1993-01-15
22,PI,99,1994-01-15
21,MA,314,1994-01-15
11,RO,399,1994-01-15
33,RJ,6420,1994-01-15
12,AC,88,1994-01-15
23,CE,636,1994-01-15
53,DF,556,1994-01-15
24,RN,211,1994-01-15
27,AL,615,1994-01-15
25,PB,385,1994-01-15
28,SE,344,1994-01-15
52,GO,774,1994-01-15
13,AM,387,1994-01-15
29,BA,1739,1994-01-15
51,MT,316,1994-01-15
42,SC,346,1994-01-15
14,RR,78,1994-01-15
41,PR,1260,1994-01-15
26,PE,2593,1994-01-15
50,MS,522,1994-01-15
15,PA,716,1994-01-15
31,MG,1118,1994-01-15
16,AP,125,1994-01-15
35,SP,9981,1994-01-15
43,RS,1334,1994-01-15
17,TO,109,1994-01-15
32,ES,1166,1994-01-15
31,MG,1214,1995-01-15
43,RS,1439,1995-01-15
21,MA,385,1995-01-15
15,PA,700,1995-01-15
50,MS,636,1995-01-15
41,PR,1387,1995-01-15
26,PE,2706,1995-01-15
14,RR,87,1995-01-15
51,MT,583,1995-01-15
42,SC,420,1995-01-15
29,BA,1536,1995-01-15
13,AM,425,1995-01-15
