id;titulo;preco;endereco;detalhes;descricao;link;tamanho;quartos;vagas;suites;plantas;data_extracao
1;"Quadra 206 SUL, AGUAS CLARAS";NULL;"Villa Jardins";"139 a 320 m²
4 quartos
3 plantas";;https://www.dfimoveis.com.br/imovel/lancamento-villa-jardins-1064209;"139 a 320";4;;;3;"2025-04-02 23:03:45"
2;"Avenida das Araucárias, SUL, AGUAS CLARAS";NULL;N/A;"203 m²
4 Quartos
4 Suítes
3 Vagas";", PENÍNSULA LAZER E URBANISMO PENÍNSULA PORTEIRA FECHADA - 4 QUARTOS, NASCENTE, REFORMADO 203M², 3 VAGAS";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-avenida-das-araucarias-1090547;203;4;3;4;;"2025-04-02 23:03:45"
3;"Avenida das Araucárias, SUL, AGUAS CLARAS";NULL;N/A;"203 m²
4 Quartos
3 Suítes
3 Vagas";"PENÍNSULA RESORT RESIDENCIAL - APARTAMENTO COM 4 QUARTOS SENDO 3 SUÍTES À VENDA - ACEITA FINANCIAMEN";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-avenida-das-araucarias-1064688;203;4;3;3;;"2025-04-02 23:03:45"
4;"Rua 5, SUL, AGUAS CLARAS";NULL;N/A;"282 m²
4 Quartos
4 Suítes
4 Vagas";"REFORMADA 4 QUARTOS ANDAR ALTO VAZADO 4 VAGAS DE GARAGEM VISTA LIVRE DCE LAZER COMPLETO ÁGUAS CLARA";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-rua-5-995429;282;4;4;4;;"2025-04-02 23:03:45"
5;"Quadra 204, SUL, AGUAS CLARAS";NULL;N/A;"202 m²
4 Quartos
4 Suítes
3 Vagas";"QD 204 QUATTRO MIRANTE - MARAVILHOSO - 202M² - NASCENTE , QUATTRO MIRANTE RESIDENCE DENTRO DE PRAÇA";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-204-1114190;202;4;3;4;;"2025-04-02 23:03:45"
6;"Quadra 206, SUL, AGUAS CLARAS";NULL;N/A;"290 m²
4 Quartos
4 Suítes
3 Vagas";"QUADRA 206 SAGITARIUS 290M2";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-206-682780;290;4;3;4;;"2025-04-02 23:03:45"
7;"Quadra 202, SUL, AGUAS CLARAS";NULL;N/A;"197 m²
4 Quartos
4 Suítes
3 Vagas";"QUADRA 202 - SONETO HOME E RESORT";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-202-1136729;197;4;3;4;;"2025-04-02 23:03:45"
8;"Quadra 207, SUL, AGUAS CLARAS";NULL;N/A;"215 m²
4 Quartos
4 Suítes
3 Vagas";VAZADO;https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-207-1126324;215;4;3;4;;"2025-04-02 23:03:45"
9;"Quadra 206, SUL, AGUAS CLARAS";NULL;N/A;"283 m²
4 Quartos
4 Suítes
4 Vagas";", SAGITARIUS RESIDENCIAL RESORT MARAVILHOSO 4 SUÍTES , ANDAR ALTO, VISTA DEFINITIVA ( DESOCUPADO)";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-206-885684;283;4;4;4;;"2025-04-02 23:03:45"
10;"Quadra 204, SUL, AGUAS CLARAS";NULL;N/A;"205 m²
4 Quartos
4 Suítes
3 Vagas";"QUATTRO MIRANTE RESIDENCE, QUATTRO MIRANTE RESIDENCE";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-204-1110451;205;4;3;4;;"2025-04-02 23:03:45"
