titulo,preco,quartos,vagas
"SQS 304, ASA SUL, BRASILIA",2300000.0,3,0.0
"SQS 203 Bloco D, ASA SUL, BRASILIA",2400000.0,3,1.0
"SQS 316, ASA SUL, BRASILIA",2200000.0,3,1.0
"SQS 304 Bloco J, ASA SUL, BRASILIA",2300000.0,3,0.0
"SQS 207, ASA SUL, BRASILIA",2300000.0,3,1.0
"SQS 306, ASA SUL, BRASILIA",2500000.0,3,0.0
"SQS 102, ASA SUL, BRASILIA",2080000.0,3,1.0
"SQS 109, ASA SUL, BRASILIA",2200000.0,4,1.0
"SQS 203, ASA SUL, BRASILIA",2490000.0,3,2.0
"SQS 109, ASA SUL, BRASILIA",2200000.0,4,1.0
"SQS 114 Bloco G, ASA SUL, BRASILIA",2100000.0,3,1.0
"SQS 309, ASA SUL, BRASILIA",2100000.0,4,1.0
"SQS 207, ASA SUL, BRASILIA",2200000.0,3,1.0
"SQS 204 Bloco J, ASA SUL, BRASILIA",2160000.0,3,1.0
"SQS 211, ASA SUL, BRASILIA",2050000.0,3,1.0
"SQS 107, ASA SUL, BRASILIA",2200000.0,3,0.0
"SQS 109, ASA SUL, BRASILIA",2200000.0,4,1.0
"SQS 207 Bloco F, ASA SUL, BRASILIA",2200000.0,3,1.0
"SQS 207 Bloco F, ASA SUL, BRASILIA",2480000.0,3,1.0
"SQS 114 Bloco G, ASA SUL, BRASILIA",2500000.0,3,1.0
"SQS 211 Bloco B, ASA SUL, BRASILIA",2050000.0,3,1.0
"SQS 207, ASA SUL, BRASILIA",2450000.0,3,1.0
"SQS 207, ASA SUL, BRASILIA",2300000.0,3,1.0
"SQS 306, ASA SUL, BRASILIA",2400000.0,3,0.0
"SQS 104 Bloco K, ASA SUL, BRASILIA",2500000.0,4,2.0
"SQS 203, ASA SUL, BRASILIA",2490000.0,4,2.0
"SQS 204 Bloco J, ASA SUL, BRASILIA",2160000.0,3,1.0
"SQS 207, ASA SUL, BRASILIA",2350000.0,3,1.0
"SQS 202 Bloco D, ASA SUL, BRASILIA",2400000.0,3,1.0
"SQS 309, ASA SUL, BRASILIA",2500000.0,5,2.0
"SQS 202 Bloco D, ASA SUL, BRASILIA",2350000.0,3,1.0
"SQS 314 Bloco F, ASA SUL, BRASILIA",2200000.0,3,1.0
"SQS 316, ASA SUL, BRASILIA",2150000.0,3,1.0
"SQS 303 Bloco E, ASA SUL, BRASILIA",2150000.0,4,1.0
"SQS 108 Bloco K, ASA SUL, BRASILIA",2500000.0,3,0.0
"EQS 414/415, ASA SUL, BRASILIA",2250000.0,3,1.0
"SQS 213 Bloco A, ASA SUL, BRASILIA",2100000.0,3,1.0
"SQS 202 Bloco H, ASA SUL, BRASILIA",2100000.0,3,1.0
"SQS 207 Bloco F, ASA SUL, BRASILIA",2450000.0,3,1.0
"SCES Trecho 4, ASA SUL, BRASILIA",2150000.0,2,1.0
"SQS 115 Bloco D, ASA SUL, BRASILIA",2100000.0,3,1.0
"SQS 109, ASA SUL, BRASILIA",2200000.0,4,1.0
"SQS 109, ASA SUL, BRASILIA",2200000.0,4,1.0
"SQS 313 Bloco A, ASA SUL, BRASILIA",2000000.0,3,1.0
"SQS 312 Bloco D, ASA SUL, BRASILIA",2390000.0,3,1.0
"SQS 108 Bloco K, ASA SUL, BRASILIA",2500000.0,3,1.0
"SQS 206 Bloco B, ASA SUL, BRASILIA",2350000.0,3,2.0
"SQS 109 Bloco D, ASA SUL, BRASILIA",2200000.0,4,1.0
"SQS 109 Bloco D, ASA SUL, BRASILIA",2190000.0,4,1.0
"SQS 316, ASA SUL, BRASILIA",2150000.0,3,1.0
"SQS 308, ASA SUL, BRASILIA",2150000.0,3,1.0
"SQS 211 Bloco C, ASA SUL, BRASILIA",2000000.0,3,2.0
"SQS 302 Bloco B, ASA SUL, BRASILIA",2500000.0,4,1.0
"SQS 211 Bloco C, ASA SUL, BRASILIA",2000000.0,3,2.0
"SQS 207, ASA SUL, BRASILIA",2200000.0,3,1.0
"SQS 114, ASA SUL, BRASILIA",2100000.0,3,1.0
"SQS 316 Bloco G, ASA SUL, BRASILIA",2200000.0,3,1.0
"SQS 207, ASA SUL, BRASILIA",2200000.0,3,1.0
"SQS 309 Bloco K, ASA SUL, BRASILIA",2500000.0,4,2.0
"SQS 207 Bloco F, ASA SUL, BRASILIA",2200000.0,3,1.0
"SQS 312, ASA SUL, BRASILIA",2250000.0,3,1.0
"SQS 312 Bloco J, ASA SUL, BRASILIA",2100000.0,3,2.0
"SQS 314, ASA SUL, BRASILIA",2200000.0,3,1.0
"SQS 203 Bloco D, ASA SUL, BRASILIA",2400000.0,3,1.0
"SQS 109, ASA SUL, BRASILIA",2200000.0,4,1.0
"SCES Trecho 4, ASA SUL, BRASILIA",2100000.0,1,2.0
"SQS 211, ASA SUL, BRASILIA",2050000.0,3,1.0
"CRS 513, ASA SUL, BRASILIA",2200000.0,1,0.0
